family_id,family_name,layer_status,benchmark_group,main_benchmark_status,service_lane_policy,deferred_reason,source_refs
cluster_00,Применение утратившего силу ПП №2014 о минимальной доле российских товаров,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=0
cluster_01,Жалобы на неприменение утративших силу ПП 878 и ПП 126 при закупке радиоэлектроники,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=1
cluster_02,Необоснованные жалобы на требования использования сторонних программных продуктов,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,family size <20,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=2
cluster_03,Жалобы на отсутствие контактов конечного получателя в извещении,benchmarkable,notice_content,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=3
cluster_04,Несоответствие независимой гарантии типовой форме ПП №1005,benchmarkable,participant_requirements_doc,benchmarkable-deferred,deferred-review-only,explicit deferred benchmarkable family in v7.1; required non-core documents not yet proven at scale,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=4
cluster_05,Требования к лицензиям и разрешительным документам участников закупки,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=5
cluster_06,Неприменение запрета на иностранное ПО по ПП 1236 при закупке медоборудования,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=6
cluster_07,Неприменение запрета на иностранное ПО по утратившему силу ПП 1236,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=7
cluster_08,Необоснованные жалобы на требования лицензий и СРО при поставке медоборудования,benchmarkable,participant_requirements_doc,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=8
cluster_09,Оспаривание требований к лицензии и членству в СРО,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=9
cluster_10,Неправомерное объединение в один лот товаров с разным статусом по ПП №1875,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=10
cluster_11,Неправомерное объединение медицинских изделий разных видов НКМИ в один лот,benchmarkable,object_description,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=11
cluster_12,Необоснованные жалобы на объединение товаров с разными ОКПД2,benchmarkable,object_description,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=12
cluster_13,Неправильный выбор кода ОКПД2 для картриджей в извещении,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=13
cluster_14,Требование оригинальных картриджей без допуска эквивалентов,service_only,object_description,service-only,service-review-only,external expert knowledge is the primary support for detection,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=14
cluster_15,Указание товарного знака без слов «или эквивалент» в описании закупки,benchmarkable,object_description,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=15
