family_id,family_name,layer_status,benchmark_group,requires_notice,requires_structured_notice,requires_tz,requires_contract,requires_application,requires_guarantee,requires_protocol,requires_external_knowledge,minimum_runtime_bundle,benchmark_eligible_if,service_behavior_if_missing,notes
cluster_00,Применение утратившего силу ПП №2014 о минимальной доле российских товаров,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_01,Жалобы на неприменение утративших силу ПП 878 и ПП 126 при закупке радиоэлектроники,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_02,Необоснованные жалобы на требования использования сторонних программных продуктов,conditional_benchmarkable,defer,no,no,no,no,no,no,no,no,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_03,Жалобы на отсутствие контактов конечного получателя в извещении,benchmarkable,notice_content,yes,yes,no,no,no,no,no,no,notice+structured_notice,"printed/structured notice is available and parsed; if the family is cross-document, contradiction evidence must be preserved too",unsupported_notice_mode_then_review,"For notice_content, structured fields or printed notice are mandatory for the supported lane. Boundary-reviewed in Stage 21 and retained in DOC_CORE as notice-content family."
cluster_04,Несоответствие независимой гарантии типовой форме ПП №1005,benchmarkable,participant_requirements_doc,yes,no,no,no,no,yes,no,no,notice+guarantee,guarantee text and governing procurement requirements are both locally available; otherwise family remains deferred,deferred_review_only,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Explicit v7.1 deferred benchmarkable family; guarantee text must be available before promotion."
cluster_05,Требования к лицензиям и разрешительным документам участников закупки,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_06,Неприменение запрета на иностранное ПО по ПП 1236 при закупке медоборудования,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_07,Неприменение запрета на иностранное ПО по утратившему силу ПП 1236,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_08,Необоснованные жалобы на требования лицензий и СРО при поставке медоборудования,benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_09,Оспаривание требований к лицензии и членству в СРО,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
